Title,Year,Cast,Description
Зеленая миля, 1999 189 мин.,В ролях: Том Хэнкс Дэвид Морс,США  драма  Режиссёр: Фрэнк Дарабонт
1+1, 2011 112 мин.,В ролях: Франсуа Клюзе Омар Си,Франция  драма  Режиссёр: Оливье Накаш
Побег из Шоушенка, 1994 142 мин.,В ролях: Тим Роббинс Морган Фриман,США  драма  Режиссёр: Фрэнк Дарабонт
Форрест Гамп, 1994 142 мин.,В ролях: Том Хэнкс Робин Райт,США  драма  Режиссёр: Роберт Земекис
Интерстеллар, 2014 169 мин.,В ролях: Мэттью Макконахи Энн Хэтэуэй,США  фантастика  Режиссёр: Кристофер Нолан
Унесённые призраками, 2001 125 мин.,В ролях: Руми Хиираги Мию Ирино,Япония  аниме  Режиссёр: Хаяо Миядзаки
Бойцовский клуб, 1999 139 мин.,В ролях: Эдвард Нортон Брэд Питт,США  триллер  Режиссёр: Дэвид Финчер
Властелин колец: Возвращение короля, 2003 201 мин.,В ролях: Элайджа Вуд Вигго Мортенсен,Новая Зеландия  фэнтези  Режиссёр: Питер Джексон
Список Шиндлера, 1993 195 мин.,В ролях: Лиам Нисон Бен Кингсли,США  драма  Режиссёр: Стивен Спилберг
Криминальное чтиво, 1994 154 мин.,В ролях: Джон Траволта Сэмюэл Л. Джексон,США  криминал  Режиссёр: Квентин Тарантино
Шрэк, 2001 90 мин.,В ролях: Майк Майерс Эдди Мерфи,США  мультфильм  Режиссёр: Эндрю Адамсон
Иван Васильевич меняет профессию,1973 88 мин.,В ролях: Александр Демьяненко Юрий Яковлев,СССР  комедия  Режиссёр: Леонид Гайдай
Властелин колец: Две крепости, 2002 179 мин.,В ролях: Элайджа Вуд Иэн Маккеллен,Новая Зеландия  фэнтези  Режиссёр: Питер Джексон
Властелин колец: Братство Кольца, 2001 178 мин.,В ролях: Элайджа Вуд Иэн Маккеллен,Новая Зеландия  фэнтези  Режиссёр: Питер Джексон
Ходячий замок, 2004 119 мин.,В ролях: Тиэко Байсё Такуя Кимура,Япония  аниме  Режиссёр: Хаяо Миядзаки
Достучаться до небес, 1997 87 мин.,В ролях: Тиль Швайгер Ян Йозеф Лиферс,Германия  драма  Режиссёр: Томас Ян
Остров проклятых, 2009 138 мин.,В ролях: Леонардо ДиКаприо Марк Руффало,США  триллер  Режиссёр: Мартин Скорсезе
